label,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std
A3,-365.57886,109.03777,21.52248,16.950415,17.866453,5.353214,-1.6294315,-3.4293406,-14.928015,-29.437784,-27.179312,-12.263411,-3.9126008,65.46284,16.299759,21.46387,11.472539,9.01775,7.215724,6.61262,6.364853,5.416841,3.777012,4.7054105,4.770102,7.861608
A3,-399.68796,76.61938,12.298655,21.75879,20.64239,6.247843,2.7086337,1.4597422,-9.063619,-19.765766,-14.689218,-5.1435432,-4.7703967,84.606445,33.097683,17.692078,13.049549,12.784196,5.7129545,6.0466657,6.0116763,7.1241684,14.430576,9.553732,4.2375736,4.641969
A3,-383.71817,96.496475,22.22403,21.961918,22.52619,12.440516,4.138607,0.34681967,-11.88857,-30.104301,-24.775242,-7.462914,-1.268227,72.48336,16.543186,19.504988,12.956319,10.683444,6.8954434,4.9083314,6.4706874,6.5398583,3.9522533,6.242137,4.4121532,8.099616
A3,-382.21606,113.5957,25.109423,9.889247,13.343618,4.2133026,-5.0389485,-10.243672,-19.68832,-31.055355,-23.865622,-6.6444197,-0.1121842,56.971695,19.24504,20.474295,7.99189,10.938551,3.7636046,5.642427,4.2309413,4.7047424,3.407101,4.241906,3.0073423,7.383037
A3,-393.27582,98.06729,22.29481,14.067514,15.421038,4.5630755,-6.190023,-13.184768,-19.379631,-23.21118,-13.982401,-1.3551933,-0.44931188,75.211044,45.62625,14.798063,9.133523,8.184964,4.522421,6.6335754,6.871815,11.16744,12.787018,7.8064437,3.8102837,6.8540773
A3,-403.97305,112.71615,29.50445,10.183358,6.264193,8.940788,2.3194394,-4.860384,-10.252816,-13.62096,-17.296661,-18.061752,-15.861087,85.56726,18.223871,23.6731,10.6703,6.724886,6.1237345,1.9448457,4.543273,3.8297029,5.5692067,4.909351,4.191292,4.0998154
A3,-371.53082,102.58705,10.57276,17.964788,16.034367,5.946974,7.9919534,8.872202,-11.284815,-28.592546,-16.989637,-4.531533,-9.477749,67.97665,9.826056,24.353983,18.632238,9.918858,7.8629117,6.5742493,7.7724133,4.0766854,5.563354,4.353468,2.7039273,8.647062
A3,-389.09622,106.50912,24.83794,13.739071,14.180803,10.121156,-1.5393211,-12.648652,-17.420288,-10.014094,-3.1496315,-7.584852,-16.40176,80.558784,16.496635,26.811716,12.449001,10.687125,6.768309,4.6332173,5.442784,3.1301742,4.2772613,2.445625,2.3856697,4.0203457
A3,-404.03687,86.40084,18.779295,14.599582,13.528489,8.372189,0.194198,-7.891527,-12.421833,-7.916002,-1.9911964,-2.8632607,-10.353852,95.14259,36.985886,22.433344,13.009576,10.825498,7.9704537,4.4202228,7.963071,10.505686,7.8979897,3.0467746,3.1551585,6.5578403
A3,-403.95493,96.162605,22.271341,16.082476,17.864307,15.188891,2.6125402,-12.147632,-21.284334,-15.423593,-5.6498594,-1.5637051,-9.748132,88.64104,16.555944,26.64243,12.4874735,10.194119,6.1755867,3.9562464,5.6456285,3.9289412,3.9888263,2.6065412,3.0993495,3.5015364
